TIME,X
5000,0
5000,97
5000,96
5000,96
5000,57
5000,44
5000,96
5000,97
5000,96
5000,54
5000,66
5000,4
5000,43
5000,3
5000,73
5000,4
5000,96
5000,97
5000,3
5000,97
5000,4
5000,4
5000,97
5000,16
5000,21
5000,4
5000,3
5000,3
5000,3
5000,97
5000,4
5000,4
5000,4
5000,59
5000,52
5000,4
5000,96
5000,42
5000,96
5000,96
5000,69
5000,98
5000,99
5000,44
5000,96
5000,4
5000,4
5000,56
5000,4
5000,96
5000,96
5000,96
5000,40
5000,4
5000,4
5000,4
5000,4
5000,3
5000,47
5000,4
5000,96
5000,0
5000,69
5000,4
5000,4
5000,39
5000,96
5000,4
5000,96
5000,96
5000,61
5000,3
5000,63
5000,3
5000,4
5000,4
5000,4
5000,1
5000,3
5000,36
5000,97
5000,96
5000,96
5000,32
5000,56
5000,68
5000,57
5000,4
5000,97
5000,4
5000,51
5000,96
5000,96
5000,97
5000,4
5000,100
5000,36
5000,3
5000,99
5000,4
5000,96
5000,96
5000,45
5000,65
5000,4
5000,97
5000,1
5000,96
5000,48
5000,4
5000,4
5000,99
5000,17
5000,41
5000,96
5000,96
5000,3
5000,96
5000,51
5000,4
5000,96
5000,47
5000,3
5000,4
5000,3
5000,97
5000,3
5000,97
5000,68
5000,35
5000,96
5000,4
5000,4
5000,90
5000,82
5000,96
5000,96
5000,23
5000,33
5000,78
5000,82
5000,85
5000,3
5000,92
5000,29
5000,4
5000,96
5000,49
5000,96
5000,2
5000,72
5000,4
5000,97
5000,76
5000,100
5000,97
5000,96
5000,98
5000,96
5000,4
5000,96
5000,4
5000,96
5000,16
5000,4
5000,34
5000,4
5000,70
5000,4
5000,4
5000,25
5000,25
5000,42
5000,3
5000,60
5000,4
5000,96
5000,96
5000,4
5000,97
5000,3
5000,33
5000,55
5000,4
5000,3
5000,96
5000,98
5000,4
5000,3
5000,4
5000,96
5000,3
5000,98
5000,4
5000,96
5000,4
5000,4
5000,56
5000,4
5000,96
5000,4
5000,68
5000,1
5000,34
5000,96
5000,2
5000,29
5000,99
5000,4
5000,69
5000,91
5000,4
5000,96
5000,96
5000,96
5000,4
5000,9
5000,97
5000,76
5000,19
5000,4
5000,49
5000,4
5000,98
5000,4
5000,98
5000,2
5000,96
5000,48
5000,97
5000,15
5000,64
5000,65
5000,22
5000,4
5000,72
5000,54
5000,4
5000,4
5000,52
5000,4
5000,28
5000,62
5000,0
5000,58
5000,45
5000,4
5000,4
5000,96
5000,96
5000,97
5000,4
5000,97
5000,96
5000,96
5000,99
5000,96
5000,58
5000,97
5000,15
5000,100
5000,98
5000,97
5000,97
5000,2
5000,48
5000,4
5000,2
5000,80
5000,4
5000,4
5000,96
5000,97
5000,2
5000,87
5000,97
5000,96
5000,4
5000,96
5000,1
5000,4
5000,96
5000,99
5000,4
5000,53
5000,86
5000,21
5000,100
5000,44
5000,3
5000,96
5000,50
5000,96
5000,27
5000,11
5000,59
5000,97
5000,65
5000,71
5000,2
5000,4
5000,96
5000,3
5000,96
5000,98
5000,16
5000,4
5000,58
5000,96
5000,96
5000,96
5000,3
5000,98
5000,1
5000,67
5000,4
5000,98
5000,3
5000,97
5000,4
5000,13
5000,59
5000,81
5000,53
5000,0
5000,99
5000,96
5000,3
5000,40
5000,4
5000,99
5000,82
5000,96
5000,4
5000,100
5000,96
5000,97
5000,2
5000,96
5000,96
5000,75
5000,96
5000,69
5000,90
5000,74
5000,47
5000,33
5000,96
5000,4
5000,99
5000,28
5000,4
5000,3
5000,51
5000,96
5000,17
5000,76
5000,0
5000,96
5000,54
5000,4
5000,77
5000,3
5000,48
5000,100
5000,96
5000,4
5000,96
5000,97
5000,99
5000,96
5000,96
5000,53
5000,96
5000,96
5000,98
5000,4
5000,4
5000,68
5000,4
5000,69
5000,96
5000,97
5000,64
5000,4
5000,0
5000,4
5000,1
5000,2
5000,96
5000,54
5000,96
5000,4
5000,4
5000,63
5000,2
5000,4
5000,6
5000,99
5000,97
5000,54
5000,3
5000,2
5000,96
5000,86
5000,51
5000,97
5000,96
5000,48
5000,91
5000,97
5000,92
5000,1
5000,28
5000,97
5000,4
5000,96
5000,96
5000,97
5000,97
5000,4
5000,4
5000,96
5000,96
5000,43
5000,4
5000,97
5000,39
5000,34
5000,96
5000,50
5000,63
5000,96
5000,97
5000,4
5000,96
5000,96
5000,96
5000,4
5000,42
5000,5
5000,4
5000,13
5000,63
5000,96
5000,53
5000,98
5000,2
5000,97
5000,3
5000,41
5000,96
5000,96
5000,100
5000,96
5000,4
5000,99
5000,98
5000,59
5000,29
5000,97
5000,72
5000,96
5000,96
5000,42
5000,49
5000,1
5000,4
5000,3
5000,99
5000,96
5000,96
5000,98
5000,4
5000,4
5000,97
5000,96
5000,3
5000,0
5000,3
5000,98
5000,42
5000,52
5000,97
5000,4
5000,3
5000,96
5000,99
5000,23
5000,86
5000,42
5000,97
5000,44
5000,38
5000,4
5000,96
5000,96
5000,4
5000,99
5000,97
5000,97
5000,4
5000,2
5000,96
5000,3
5000,4
5000,51
5000,2
5000,96
5000,96
5000,75
5000,45
5000,4
5000,4
5000,15
5000,96
5000,3
5000,4
5000,14
5000,83
5000,3
5000,96
5000,2
5000,3
5000,3
5000,96
5000,4
5000,69
5000,55
5000,2
5000,96
5000,96
5000,97
5000,46
5000,36
5000,66
5000,97
5000,87
5000,68
5000,1
5000,96
5000,3
5000,98
5000,44
5000,4
5000,45
5000,4
5000,3
5000,61
5000,96
5000,96
5000,96
5000,98
5000,58
5000,96
5000,1
5000,4
5000,96
5000,2
5000,96
5000,98
5000,3
5000,4
5000,60
5000,17
5000,50
5000,95
5000,96
5000,1
5000,63
5000,4
5000,2
5000,4
5000,96
5000,68
5000,63
5000,96
5000,96
5000,96
5000,96
5000,97
5000,4
5000,97
5000,4
5000,19
5000,3
5000,50
5000,3
5000,97
5000,96
5000,4
5000,96
5000,96
5000,36
5000,96
5000,97
5000,3
5000,96
5000,96
5000,96
5000,55
5000,97
5000,40
5000,65
5000,38
5000,3
5000,96
5000,25
5000,31
5000,76
5000,96
5000,96
5000,96
5000,67
5000,9
5000,3
5000,96
5000,96
5000,18
5000,40
5000,1
5000,3
5000,34
5000,4
5000,3
5000,96
5000,4
5000,39
5000,4
5000,3
5000,19
5000,4
5000,48
5000,27
5000,96
5000,4
5000,21
5000,96
5000,3
5000,96
5000,53
5000,3
5000,27
5000,33
5000,4
5000,96
5000,97
5000,1
5000,32
5000,96
5000,4
5000,4
5000,4
5000,97
5000,97
5000,96
5000,3
5000,4
5000,4
5000,97
5000,96
5000,49
5000,3
5000,4
5000,97
5000,4
5000,4
5000,53
5000,36
5000,42
5000,45
5000,97
5000,97
5000,21
5000,12
5000,0
5000,97
5000,4
5000,96
5000,3
5000,99
5000,96
5000,63
5000,3
5000,4
5000,97
5000,36
